column_name;foreign_table;table_name
product_id;products;product_orders
landlord_id;landlords;rent_requests
lc1_id;lc1_chairpersons;rent_requests
rent_request_id;rent_requests;repayments
agent_id;profiles;agent_float_limits
assigned_by;profiles;agent_float_limits
product_id;products;product_reviews
order_id;product_orders;product_reviews
product_id;products;wishlists
product_id;products;cart_items
product_id;products;product_images
review_id;product_reviews;review_images
review_id;product_reviews;review_votes
review_id;product_reviews;review_responses
vendor_id;vendors;receipt_numbers
receipt_number_id;receipt_numbers;user_receipts
loan_id;user_loans;user_loan_repayments
agent_id;profiles;agent_visits
tenant_id;profiles;agent_visits
rent_request_id;rent_requests;supporter_roi_payments
conversation_id;conversations;conversation_participants
conversation_id;conversations;messages
agent_id;profiles;payment_tokens
tenant_id;profiles;payment_tokens
visit_id;agent_visits;payment_tokens
agent_verified_by;profiles;rent_requests
manager_verified_by;profiles;rent_requests
verified_by;profiles;landlords
agent_id;profiles;agent_advances
issued_by;profiles;agent_advances
advance_id;agent_advances;agent_advance_ledger
advance_id;agent_advances;agent_advance_topups
topped_up_by;profiles;agent_advance_topups
agent_id;profiles;agent_collections
tenant_id;profiles;agent_collections
token_id;payment_tokens;agent_collections
group_id;ledger_account_groups;ledger_accounts
agent_id;profiles;liquidity_alerts
resolved_by;profiles;liquidity_alerts
transaction_id;ledger_transactions;ledger_entries
account_id;ledger_accounts;ledger_entries
transaction_id;ledger_transactions;transaction_approvals
agent_id;profiles;agent_receipts
agent_id;profiles;float_requests
approved_by;profiles;float_requests
agent_id;profiles;agent_rebalance_records
approved_by;profiles;agent_rebalance_records
rent_request_id;rent_requests;subscription_charges
subscription_id;subscription_charges;subscription_charge_logs
investor_id;profiles;investor_portfolios
rent_request_id;rent_requests;location_requests
loan_id;user_loans;credit_request_details
invite_id;supporter_invites;investor_portfolios
agent_id;profiles;investor_portfolios
